City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
586,Del Rio,US,78.8,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
589,Ugoofaaru,MV,83.44,overcast clouds,5.67,73.0,Ungoofaaru Inn
595,Bang Saphan,TH,84.0,shower rain,11.21,99.51,Ladawan Boutique Hotel
599,Wanning,CN,76.1,clear sky,18.8,110.4,Paradise Hotel
603,Trinidad,BO,84.9,clear sky,-14.83,-64.9,Hotel Piesta
604,Pangkalanbuun,ID,81.7,light rain,-2.68,111.62,Grand Kecubung Hotel
605,Simoes,BR,83.57,overcast clouds,-7.6,-40.82,Hotel Ponto Certo
622,Katobu,ID,88.05,clear sky,-4.94,122.53,La Ode Husein
627,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
635,Banda Aceh,ID,79.92,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
636,Puerto Quijarro,BO,82.72,clear sky,-17.78,-57.77,Hotel palance
645,Coahuayana,MX,78.8,clear sky,18.73,-103.68,Hotel Los Arcos
649,Trat,TH,77.16,few clouds,12.5,102.5,สวนหนิง-อัศ
663,Maxixe,MZ,77.43,clear sky,-23.86,35.35,Oceano
669,Biak,ID,84.31,broken clouds,-0.91,122.88,Kost Ariz
670,Tabou,CI,77.59,overcast clouds,4.42,-7.35,hotêl doufoulougou
673,Mackay,AU,84.2,overcast clouds,-21.15,149.2,International Lodge Motel
677,Diamantino,BR,80.22,overcast clouds,-14.41,-56.45,Hotel Delta
679,Bachaquero,VE,81.03,scattered clouds,9.97,-71.15,casa de los dinosaurios
682,Sawakin,SD,81.97,broken clouds,19.11,37.33,فندق الدويم
