City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,San Quintin,MX,30.48,-115.95,66.11,86,4,9.75,clear sky
150,Acarau,BR,-2.89,-40.12,79.95,79,67,15.55,broken clouds
151,Malindi,KE,-3.22,40.12,76.95,83,0,7.99,clear sky
152,Lagoa,PT,39.05,-27.98,58.46,69,77,30.65,broken clouds
153,Timizart,DZ,36.8,4.27,66.49,43,0,8.01,clear sky
154,Russkiy Kameshkir,RU,52.86,46.09,39.6,92,85,6.11,overcast clouds
155,Lavrentiya,RU,65.58,-171,35.47,84,32,26.8,scattered clouds
156,Ola,RU,59.58,151.28,12.11,85,100,12.24,overcast clouds
157,Usinsk,RU,65.99,57.53,32.41,98,100,7.49,overcast clouds
158,Fandriana,MG,-20.23,47.38,60.84,90,37,1.39,scattered clouds
159,Grand-Lahou,CI,5.14,-5.02,78.89,89,62,10.8,broken clouds
160,Grindavik,IS,63.84,-22.43,39.2,69,75,18.34,broken clouds
161,Chamlykskaya,RU,44.72,40.88,42.46,82,4,12.26,clear sky
162,East London,ZA,-33.02,27.91,63.52,74,100,8.5,overcast clouds
163,Giyani,ZA,-23.3,30.72,78.76,47,0,3.02,clear sky
164,Tiksi,RU,71.69,128.87,-2.54,93,94,3.04,overcast clouds
165,Umm Lajj,SA,25.02,37.27,72.45,69,7,8.75,clear sky
166,Port Hawkesbury,CA,45.62,-61.35,55.4,87,90,8.05,overcast clouds
167,Sola,VU,-13.88,167.55,86,79,75,4.7,broken clouds
168,Saint-Pierre,RE,-21.34,55.48,68,68,0,6.93,clear sky
169,Port-Gentil,GA,-0.72,8.78,76.64,92,100,8.97,heavy intensity rain
170,Naze,JP,28.37,129.48,80.6,88,20,10.29,few clouds
171,Sao Joao Da Barra,BR,-21.64,-41.05,70.65,83,100,10.47,overcast clouds
172,Nome,US,64.5,-165.41,39.99,86,90,21.92,mist
173,Bayanday,RU,53.07,105.51,9.97,93,1,4.29,clear sky
174,Loei,TH,17.42,101.5,71.6,100,75,2.24,broken clouds
175,Sirjan,IR,29.45,55.68,47.91,45,45,6.29,scattered clouds
176,Kiunga,PG,-6.12,141.29,80.91,92,31,1.95,moderate rain
177,Colares,PT,38.8,-9.45,60.01,100,1,7,clear sky
178,Luena,AO,-11.78,19.92,63.09,94,97,4.79,overcast clouds
179,Auki,SB,-8.77,160.7,84.09,73,77,1.41,moderate rain
180,Saint George,US,37.1,-113.58,79,14,1,14.99,clear sky
181,Manta,EC,-0.95,-80.73,73.4,78,0,11.41,clear sky
182,Mangrol,IN,21.12,70.12,75.67,51,0,9.48,clear sky
183,Saint-Joseph,RE,-21.37,55.62,68,68,0,6.93,clear sky
184,Christchurch,NZ,-43.53,172.63,64,82,100,5.82,overcast clouds
185,Ancud,CL,-41.87,-73.82,52,76,100,6.93,overcast clouds
186,Yulara,AU,-25.24,130.99,80.6,10,0,14.99,clear sky
187,Husavik,IS,66.04,-17.34,37.4,55,90,16.11,overcast clouds
188,Pergamino,AR,-33.89,-60.57,71.01,60,35,1.99,scattered clouds
189,Doha,QA,25.29,51.53,82.4,61,0,6.93,clear sky
190,Norman Wells,CA,65.28,-126.83,6.8,84,75,2.24,broken clouds
191,Praia,CV,14.92,-23.51,77,83,0,8.05,clear sky
192,Rio Brilhante,BR,-21.8,-54.55,74.48,43,0,6.78,clear sky
193,Sevelen,CH,47.12,9.49,46,96,0,7.43,clear sky
194,Alugan,PH,12.22,125.48,78.46,93,100,12.8,light rain
195,Bubaque,GW,11.28,-15.83,84.56,78,98,15.37,overcast clouds
196,Castro,BR,-24.79,-50.01,54.55,91,0,8.25,clear sky
197,Pisco,PE,-13.7,-76.22,64.4,82,90,14.99,overcast clouds
198,North Bend,US,43.41,-124.22,51.8,76,20,12.75,few clouds
199,Dikson,RU,73.51,80.55,-0.35,89,0,4.92,clear sky
200,Sitka,US,57.05,-135.33,39.2,86,90,5.82,overcast clouds
201,Namibe,AO,-15.2,12.15,71.6,59,78,9.33,broken clouds
202,Chuy,UY,-33.7,-53.46,60.64,92,100,8.68,overcast clouds
203,Jalu,LY,29.03,21.55,62.19,67,8,8.55,clear sky
204,Sexsmith,CA,55.35,-118.79,17.6,78,75,5.82,broken clouds
205,Brownsville,US,25.9,-97.5,77,69,1,9.17,clear sky
206,Svetlyy,RU,54.67,20.13,53.6,87,75,15.66,broken clouds
207,Saint-Louis,SN,16.33,-15,86,62,0,11.43,clear sky
208,Mbanza-Ngungu,CD,-5.25,14.87,68.41,93,100,1.77,overcast clouds
209,Khani,GE,41.96,42.96,53.6,93,90,2.24,overcast clouds
210,Bangangte,CM,5.14,10.52,61.66,98,60,2.28,broken clouds
211,Kayankulam,IN,9.18,76.5,76.6,87,46,4.41,scattered clouds
212,Muros,ES,42.78,-9.06,55,87,75,9.17,broken clouds
213,Klaksvik,FO,62.23,-6.59,44.6,93,100,14.99,light rain
214,Pelotas,BR,-31.77,-52.34,66,85,87,5.01,overcast clouds
215,Katsuura,JP,35.13,140.3,69.8,73,75,17.22,broken clouds
216,Tingo Maria,PE,-9.29,-76.01,70.54,80,36,2.93,light rain
217,Raudeberg,NO,61.99,5.14,50,89,100,28.95,overcast clouds
218,Nioro,GM,13.35,-15.75,80.19,64,11,8.28,few clouds
219,Pacific Grove,US,36.62,-121.92,57.99,58,40,11.41,scattered clouds
220,Pundaguitan,PH,6.37,126.17,82.27,74,100,5.14,light rain
221,Lakatoro,VU,-16.1,167.42,84.2,74,40,10.29,scattered clouds
222,Esmeralda,CU,21.85,-78.12,73.4,94,75,2.24,heavy intensity rain
223,West Bay,KY,19.37,-81.42,78.8,88,90,11.41,overcast clouds
224,Mandera,KE,3.94,41.87,78.73,75,67,10.69,broken clouds
225,Souillac,MU,-20.52,57.52,68,94,40,2.24,scattered clouds
226,Konakovo,RU,56.7,36.77,40.68,78,100,11.3,overcast clouds
227,Outram,MY,1.28,103.84,80.6,100,40,2.24,scattered clouds
228,Kovdor,RU,67.57,30.48,33.31,90,3,15.08,clear sky
229,Japura,ID,-0.32,102.35,76.86,93,100,2.73,overcast clouds
230,Sueyoshi,JP,31.65,131.02,68,100,75,3.36,fog
