City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Asau,RO,46.43,26.4,52.0,74,0,0.6,clear sky
112,Saint George,US,37.1,-113.58,43.0,65,90,8.05,overcast clouds
113,Hofn,IS,64.25,-15.21,39.2,64,0,5.82,clear sky
114,Palmer,US,42.16,-72.33,63.0,45,47,3.11,scattered clouds
115,Qaqortoq,GL,60.72,-46.03,33.8,80,100,9.17,overcast clouds
116,Gladstone,AU,-23.85,151.25,69.8,64,75,8.05,broken clouds
117,Mecca,SA,21.43,39.83,83.93,54,0,11.61,clear sky
118,Mahebourg,MU,-20.41,57.7,73.4,94,75,10.29,shower rain
119,Waynesboro,US,38.07,-78.89,66.0,77,1,2.1,clear sky
120,Waingapu,ID,-9.66,120.26,82.02,70,7,2.26,clear sky
121,Tuktoyaktuk,CA,69.45,-133.04,19.4,92,20,9.17,few clouds
122,Muzhi,RU,65.37,64.67,24.33,98,100,2.68,overcast clouds
123,Primo Tapia,MX,32.22,-116.92,55.0,87,90,6.93,moderate rain
124,Camacha,PT,33.08,-16.33,69.8,60,20,12.75,few clouds
125,Umm Kaddadah,SD,13.6,26.69,86.5,16,0,10.42,clear sky
126,Erie,US,42.77,-78.67,63.0,58,20,4.74,few clouds
127,Haines Junction,CA,60.75,-137.51,6.8,84,100,3.36,overcast clouds
128,Issia,CI,6.49,-6.59,90.21,46,99,1.95,overcast clouds
129,Luderitz,NA,-26.65,15.16,67.1,61,0,22.77,clear sky
130,Touros,BR,-5.2,-35.46,82.4,69,75,18.34,shower rain
131,Xinzhou,CN,38.41,112.73,41.85,51,0,0.49,clear sky
132,Indian Head,US,38.6,-77.16,68.0,76,1,2.44,clear sky
133,Northam,GB,51.03,-4.22,59.0,86,6,5.99,clear sky
134,Geraldton,AU,-28.77,114.6,62.6,77,75,4.7,broken clouds
135,Port Hedland,AU,-20.32,118.57,77.0,73,0,11.41,clear sky
136,Sao Felix Do Xingu,BR,-6.64,-51.99,91.45,48,42,7.85,scattered clouds
137,Cidreira,BR,-30.18,-50.21,70.23,78,95,15.08,overcast clouds
138,Airai,TL,-8.93,125.41,62.62,88,100,2.13,overcast clouds
139,San Cristobal,VE,7.77,-72.22,78.8,88,75,2.24,moderate rain
140,Selenduma,RU,50.91,106.24,26.96,92,0,3.83,clear sky
141,Avarua,CK,-21.21,-159.78,68.0,94,35,7.85,scattered clouds
142,Timmins,CA,48.47,-81.33,46.4,100,75,6.93,broken clouds
143,Rexburg,US,43.83,-111.79,30.2,86,90,18.34,overcast clouds
144,San Ramon,US,37.78,-121.98,48.99,70,40,5.82,scattered clouds
145,Te Anau,NZ,-45.42,167.72,38.86,88,1,2.35,clear sky
146,Auki,SB,-8.77,160.7,77.58,83,30,3.18,scattered clouds
147,Manzil Salim,TN,35.86,8.48,75.2,26,20,4.7,few clouds
148,Vanimo,PG,-2.67,141.3,78.04,82,96,3.27,overcast clouds
149,Baikunthpur,IN,23.25,82.55,61.66,43,0,3.83,clear sky
150,Dauphin,CA,51.15,-100.05,26.6,97,90,12.66,overcast clouds
151,Alofi,NU,-19.06,-169.92,66.2,93,7,2.24,light rain
152,Comodoro Rivadavia,AR,-45.87,-67.5,78.8,44,0,3.36,clear sky
153,Mount Gambier,AU,-37.83,140.77,51.8,93,32,3.36,scattered clouds
154,Nome,US,64.5,-165.41,26.6,73,1,8.05,clear sky
155,Abapo,BO,-18.83,-63.47,97.57,19,0,10.33,clear sky
156,Syasstroy,RU,60.14,32.57,40.55,70,0,16.4,clear sky
157,Havoysund,NO,71.0,24.66,33.8,86,75,26.4,shower rain
158,New Norfolk,AU,-42.78,147.06,48.0,71,5,2.01,clear sky
159,Mount Isa,AU,-20.73,139.5,73.4,17,70,10.33,broken clouds
160,Namibe,AO,-15.2,12.15,78.8,65,75,14.99,broken clouds
161,Lincoln,US,40.8,-96.67,63.0,81,22,8.99,few clouds
162,Manokwari,ID,-0.87,134.08,80.69,75,98,4.59,overcast clouds
163,Great Falls,US,47.5,-111.3,15.8,85,90,27.51,mist
164,San Andres,CO,12.58,-81.7,84.2,79,20,10.29,few clouds
165,Ocampo,MX,21.65,-101.5,60.4,45,26,5.12,scattered clouds
166,Alyangula,AU,-13.85,136.42,80.6,88,0,7.67,clear sky
167,Patacamaya,BO,-17.23,-67.92,55.49,37,0,8.01,clear sky
168,Bonavista,CA,48.65,-53.11,37.0,69,97,6.93,overcast clouds
169,Tsabong,BW,-26.02,22.4,96.42,11,58,12.73,broken clouds
170,Klamath Falls,US,42.22,-121.78,26.6,73,90,6.93,overcast clouds
171,Shache,CN,38.42,77.24,41.92,49,55,5.03,broken clouds
172,Butaritari,KI,3.07,172.79,80.89,66,44,6.35,scattered clouds
173,Kabanjahe,ID,3.1,98.49,65.41,98,100,1.54,heavy intensity rain
174,Chuy,UY,-33.7,-53.46,70.29,59,2,10.63,clear sky
175,Liaocheng,CN,36.44,115.96,47.59,43,0,3.38,clear sky
176,Coihaique,CL,-45.58,-72.07,62.6,51,0,3.36,clear sky
177,Puerto Madryn,AR,-42.77,-65.04,76.53,41,100,18.12,overcast clouds
178,Nhulunbuy,AU,-12.23,136.77,80.6,78,0,4.65,clear sky
179,Rawah,IQ,34.48,41.91,70.84,34,94,4.32,overcast clouds
180,Kaitangata,NZ,-46.28,169.85,48.0,82,19,1.99,few clouds
181,Labrea,BR,-7.26,-64.8,93.72,48,100,2.68,overcast clouds
182,Srednekolymsk,RU,67.45,153.68,-4.83,92,92,6.2,overcast clouds
183,Lorengau,PG,-2.02,147.27,80.67,71,100,1.1,overcast clouds
184,Hithadhoo,MV,-0.6,73.08,84.52,72,1,9.44,clear sky
185,Corinto,GR,37.94,22.96,62.01,50,41,1.01,scattered clouds
186,Tual,ID,-5.67,132.75,83.32,71,96,4.99,overcast clouds
187,Yarovoye,RU,52.93,78.58,47.68,54,100,19.82,overcast clouds
188,Denizli,TR,37.84,29.07,64.4,41,0,8.05,clear sky
189,Dalhousie,IN,32.53,75.98,49.03,47,0,6.42,clear sky
190,Darnah,LY,32.77,22.64,66.43,70,50,15.14,scattered clouds
191,Madimba,TZ,-10.4,40.33,84.2,66,20,11.41,few clouds
192,Fortuna,US,40.6,-124.16,45.0,100,75,3.36,broken clouds
193,East London,ZA,-33.02,27.91,69.8,77,20,11.41,few clouds
194,Bengkulu,ID,-3.8,102.27,77.2,89,100,8.59,light rain
195,Kahului,US,20.89,-156.47,78.8,65,1,14.99,clear sky
196,Sarai Sidhu,PK,30.59,71.97,73.4,64,0,5.01,smoke
197,Mercedes,AR,-34.65,-59.43,81.0,42,10,7.0,clear sky
198,Yulara,AU,-25.24,130.99,84.2,13,88,16.11,overcast clouds
199,Ibra,OM,22.69,58.53,75.67,55,54,6.87,broken clouds
200,Leningradskiy,RU,69.38,178.42,18.28,95,100,5.1,overcast clouds
201,Talcahuano,CL,-36.72,-73.12,59.0,67,0,8.05,clear sky
202,Pevek,RU,69.7,170.31,11.91,95,85,2.44,overcast clouds
203,Vostok,RU,46.49,135.88,18.72,99,100,3.6,light snow
204,Sinnamary,GF,5.38,-52.95,85.64,66,84,13.87,broken clouds
205,Baykit,RU,61.67,96.37,30.56,96,100,4.25,overcast clouds
206,Ilulissat,GL,69.22,-51.1,10.4,55,40,11.41,scattered clouds
207,Vao,NC,-22.67,167.48,71.56,77,0,16.24,clear sky
208,Jertih,MY,5.73,102.49,78.8,94,20,2.24,few clouds
209,Dingle,PH,11.0,122.67,75.51,87,94,1.92,overcast clouds
210,Pak Phanang,TH,8.35,100.2,82.4,88,75,6.93,thunderstorm
211,Necochea,AR,-38.55,-58.74,73.99,65,0,8.99,clear sky
212,Bogorodskoye,RU,56.55,37.88,42.22,69,98,10.02,overcast clouds
213,Tianpeng,CN,30.99,103.94,69.01,1,99,2.66,overcast clouds
214,Leh,IN,34.17,77.58,34.0,55,0,2.3,clear sky
215,Mitsamiouli,KM,-11.38,43.28,80.92,76,56,10.94,broken clouds
216,Saint-Philippe,RE,-21.36,55.77,77.0,69,90,19.46,overcast clouds
217,Jacareacanga,BR,-6.22,-57.75,90.18,56,66,5.88,moderate rain
218,Komsomolskiy,UZ,40.43,71.72,55.4,37,100,2.24,mist
219,Tangshan,CN,39.63,118.18,42.12,52,0,4.7,clear sky
220,Onda,ES,39.97,-0.25,66.99,66,100,5.97,overcast clouds
221,Meulaboh,ID,4.14,96.13,76.33,90,100,4.54,heavy intensity rain
222,Klaksvik,FO,62.23,-6.59,44.6,87,100,3.36,overcast clouds
223,Villachuato,MX,20.17,-101.58,48.2,100,5,0.27,clear sky
224,Panalingaan,PH,8.78,117.42,79.36,79,93,3.49,overcast clouds
225,Aklavik,CA,68.22,-135.01,26.6,79,98,1.12,overcast clouds
226,Caravelas,BR,-17.71,-39.25,83.66,65,100,10.42,overcast clouds
227,Torbay,CA,47.67,-52.73,39.0,59,40,16.11,scattered clouds
228,Dunedin,NZ,-45.87,170.5,48.99,76,4,6.85,clear sky
229,Roald,NO,62.58,6.13,45.0,93,90,4.7,light intensity drizzle
230,Bambous Virieux,MU,-20.34,57.76,73.99,94,75,10.29,shower rain
231,Tete,MZ,-16.16,33.59,107.6,11,40,16.11,scattered clouds
232,Ust-Tsilma,RU,65.44,52.15,33.21,95,96,6.76,overcast clouds
233,Reconquista,AR,-29.15,-59.65,81.64,52,100,8.75,overcast clouds
234,Thinadhoo,MV,0.53,72.93,84.79,73,58,11.07,light rain
235,Hamilton,US,39.18,-84.53,66.0,59,1,4.7,clear sky
236,Pincher Creek,CA,49.48,-113.95,15.8,85,100,4.7,light snow
237,Bethel,US,41.37,-73.41,66.0,81,1,4.18,clear sky
